question,document
"How do I get Ollama installed on macOS, Windows, or Linux for this RAG setup?",1d0b969028
"After installing Ollama, what command should I run to download and start the local Llama 3 model?",1d0b969028
How can I check that the Ollama server is actually running on my machine?,1d0b969028
What’s the easiest way to install the Ollama Python package so I can use it from code?,1d0b969028
Can you show a simple Python example for sending a chat prompt to Ollama with llama3?,1d0b969028
"Why am I getting a connection refused error when I try to prompt my Ollama RAG, and how do I fix it?",c6fc2d4d11
My homework keeps failing with connection refused in Ollama — do I need to restart the server somehow?,c6fc2d4d11
What should I run if Ollama stops responding and I see a connection refused message in the notebook?,c6fc2d4d11
"After restarting my notebook, Ollama gives me connection refused when I test RAG. What’s the right command to bring it back?",c6fc2d4d11
"If the Ollama server crashes during the assignment, is there a quick way to restart it and rerun the serve cell?",c6fc2d4d11
Why does tiktoken show fewer tokens than OpenAI’s API for the same chat prompt?,bf0403d21b
"In a chat.completions.create request, what extra hidden tokens does OpenAI add to the message count?",bf0403d21b
Is it normal for OpenAI to report more prompt tokens than what I get from encoding the text myself?,bf0403d21b
Could newlines or weird Unicode characters make OpenAI’s token usage higher than my local count?,bf0403d21b
Why do I get something like 320 tokens locally but OpenAI says 327 for the same input?,bf0403d21b
How can I avoid typing my API key in every new terminal for this RAG project?,8b2f5e9d04
Is there a simple way to auto-load env vars when I cd into the project folder?,8b2f5e9d04
Should I use dirdotenv or direnv for managing .env files in this course?,8b2f5e9d04
What do I need to put in .gitignore so my keys don’t end up on GitHub?,8b2f5e9d04
"If I’m using Python scripts instead of shell envs, how do I load the .env file?",8b2f5e9d04
How do I decide on field weights in minsearch without just guessing?,87d4ea4e08
What's the best way to tune search field weights for a RAG project?,87d4ea4e08
Do I need a labeled dataset to figure out the right weights for different fields?,87d4ea4e08
Is there a simple process for testing multiple weight settings and comparing them?,87d4ea4e08
"For search ranking, should I rely on trial and error or use proper evaluation metrics?",87d4ea4e08
What’s the best way to clean docs before using them in RAG?,649c280e6d
"Should I strip stuff like HTML, headers, footers, and OCR junk when preparing documents?",649c280e6d
"Do I need to keep things like titles, dates, page numbers, and section names for retrieval?",649c280e6d
"Is JSON required for RAG document prep, or can I use another format?",649c280e6d
How do I chunk documents for RAG without losing important context?,649c280e6d
"Is the ""Failed to hardlink files"" message from uv in Codespaces something I should worry about?",acf8fa5356
"When uv can’t hardlink files between the cache and the workspace, does the install still go through?",acf8fa5356
How do I stop uv from showing the hardlink warning just for my current terminal session?,acf8fa5356
What’s the quickest way to make uv use copy mode every time I open a new shell in Codespaces?,acf8fa5356
"Why does uv fall back to copying files in GitHub Codespaces, and is that normal?",acf8fa5356
What package do I need to install if `dotenv` isn’t recognized in my project?,0bed1f48da
How do I add support for loading `.env` files in Python with `uv`?,0bed1f48da
"After installing the dotenv package, what import should I use in Python?",0bed1f48da
"Is `dotenv` the right package name, or should I install something else?",0bed1f48da
What’s the simplest way to fix the `dotenv is not recognized` error?,0bed1f48da
Can I take this module on my own laptop instead of using Codespaces?,aa310de435
"Is Codespaces required for Module 1, or can I set everything up locally?",aa310de435
"If I skip Codespaces, what tools do I need installed to follow the course on my machine?",aa310de435
Is it okay to work through the RAG module in a local environment rather than the shared one?,aa310de435
"If I run the course locally, do I need to write down my setup so it can be reproduced later?",aa310de435
"If I don’t commit my work in Codespaces, where is it actually saved?",610ccb23c0
Does code disappear from Codespaces if I just leave it uncommitted?,610ccb23c0
Why do I still need to commit regularly when using GitHub Codespaces?,610ccb23c0
Is the work kept only on the Codespaces Linux VM until I push it?,610ccb23c0
What happens to uncommitted code if the Codespaces session stops or gets deleted later?,610ccb23c0
Why does WSL2 say the model needs more memory than is available even though my PC has enough RAM?,f3dd94f323
How can I make WSL2 use more RAM for running the model?,f3dd94f323
Where should I put the .wslconfig file to increase WSL2 memory?,f3dd94f323
What do I need to add inside .wslconfig to set WSL2 memory to 8GB?,f3dd94f323
"After changing WSL2 memory settings, how do I restart it and check that the new RAM limit is active?",f3dd94f323
"In agentic RAG, what do people mean by tools or functions, and are they actually different things?",c296ea5a21
What kinds of external help can a model call as a tool in agentic RAG?,c296ea5a21
How does a model decide when to use a tool instead of answering right away?,c296ea5a21
What is the main difference between basic RAG and agentic RAG when it comes to retrieval?,c296ea5a21
Do I need to worry about the difference between calling something a tool versus a function in this module?,c296ea5a21
Which free LLMs can I use if I need tool calling support for development?,0d74a3616f
Does Groq have any models that support tools or function calling without paying?,0d74a3616f
"Besides OpenAI, what other providers support tool use or function calling?",0d74a3616f
"If I switch from OpenAI to Groq or another provider, do I need to change my code?",0d74a3616f
Where can I read the docs for Groq tool use and supported schemas?,0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I switch from OpenAI to another model in my agent code?,9e7b3f0c25
"Can I use `client.responses.create(...)` with Mistral, Groq, or Gemini, or is that only for OpenAI models?",9e7b3f0c25
"If my provider doesn't support the Responses API, what should I use instead to read the model reply?",9e7b3f0c25
How do I get the text answer from a non-OpenAI model without using `response.output`?,9e7b3f0c25
Do I need to change my tools schema too when I move from OpenAI's Responses API to a different provider?,9e7b3f0c25
How should I define my weather tool for Azure OpenAI so I don't get the missing tools[0].function error?,b9c7c6bb34
"Why am I seeing Error code 400 with ""Missing required parameter: tools[0].function"" when I use Azure OpenAI?",b9c7c6bb34
What does the JSON for get_weather_tool need to look like in Agentic RAG?,b9c7c6bb34
"Do I need a function field inside the tool spec for get_weather, and what should it include?",b9c7c6bb34
Can you show the correct structure for the weather function tool so Azure OpenAI accepts it?,b9c7c6bb34
Where do I actually find the Module 1 homework questions for this course?,53f15299b6
Is there a GitHub page with the 2026 Module 1 homework instructions?,53f15299b6
Do I need to look in the course platform or the repo to get the homework links?,53f15299b6
Which repo folder has the cohort materials for Module 1 in 2026?,53f15299b6
Does the homework page in GitHub include extra info that isn't in the course platform?,53f15299b6
Why am I getting an empty list back after I filter my query in homework question 3?,83da208a64
"If my filtered query returns nothing, could it be because I indexed the data wrong?",83da208a64
Do I need to set the index settings before inserting the documents for HW Q3?,83da208a64
What should I check first when my filters and query seem fine but the result is still empty?,83da208a64
Could the problem be that the data was added to the index before the index settings were created?,83da208a64
"Why do I get a 402 error from OpenRouter when I call responses.create, and why does it happen before the model even starts generating?",cfb07a27d5
How can I fix the OpenRouter 402 issue in responses.create by setting a smaller max_output_tokens value?,cfb07a27d5
"In the Module 1 rag_helper.py homework, where exactly should I add max_output_tokens so my OpenRouter call stops failing?",cfb07a27d5
"For the ToyAIKit question in Module 1, how do I pass max_output_tokens through OpenAIClient correctly?",cfb07a27d5
"If reducing max_output_tokens still does not work, what should I check in my .env, model choice, or OpenRouter key settings?",cfb07a27d5
"In the Module 1 homework, what does it actually mean to point RAG at the chunk index instead of the original documents?",b4300adeb1
Should I build the search index from the split chunks or from the full documents for the homework?,b4300adeb1
Why do we use `index.fit(chunks)` and not `index.fit(documents)` in the RAG pipeline?,b4300adeb1
"When RAG is pointed at the chunk index, does it retrieve whole docs or only the relevant pieces?",b4300adeb1
How does using chunks in the index help reduce the amount of context sent to the model?,b4300adeb1
"For the module 1 homework, if my numeric result is not exactly one of the choices, should I pick the closest option?",5e4ca64cb5
Why might my homework answer differ a bit from the multiple-choice options even when my code is correct?,5e4ca64cb5
What should I check if my answer is way off from every option in the homework?,5e4ca64cb5
Can different dataset versions or rounding issues change the numeric answer in the homework?,5e4ca64cb5
Where can I find the general rules for homework submission and choosing answers?,5e4ca64cb5
"Where should I look first when a homework task seems confusing, the course page or the GitHub instructions?",7d3a2e3505
"For the 2026 Module 1 homework, which GitHub links do I need to start with?",7d3a2e3505
Why do the homework questions sometimes feel different from the lesson if they’re based on the same material?,7d3a2e3505
"If I still don’t understand a homework question, what’s the best way to ask for help in Slack?",7d3a2e3505
What should I paste when asking for help with homework: a screenshot or the actual code/output text?,7d3a2e3505
How can I check token usage for Module 1 homework when I'm not using OpenAI?,fe8fed31e6
"If my LLM provider isn't OpenAI-compatible, where should I get the token count from?",fe8fed31e6
Can I just use tiktoken or cl100k_base for Gemini or Mistral in the homework?,fe8fed31e6
What should I do if my model response doesn't include any usage or token info?,fe8fed31e6
"For the Module 1 multiple-choice questions, what if my token count is a bit off?",fe8fed31e6
"What exactly are embeddings in vector search, and why do they turn non-numeric data into numbers?",69430a79a8
How do embeddings keep the meaning or context of text when they convert it into numerical form?,69430a79a8
Why should similar inputs produce similar vectors when using an embedding model?,69430a79a8
How does the distance between embedding values help with semantic similarity search?,69430a79a8
"What’s the connection between embeddings, vector space models, and dimensionality reduction?",69430a79a8
How can I get rid of the warning about the multi-qa-mpnet-base-dot-v1 model being made with an older sentence-transformers version?,aa3f597424
"Do I need to update sentence-transformers to stop the v3.0.0 beta warning, and what should I install?",aa3f597424
What's the easiest way to suppress the sentence-transformers warning for this model?,aa3f597424
I keep seeing a warning from multi-qa-mpnet-base-dot-v1 about sentence-transformers v3.0.0 bet — how do I fix it?,aa3f597424
Is there a pip command to avoid the warning message from this embedding model?,aa3f597424
Why did the lesson just use a dot product for cosine similarity instead of doing explicit normalization first?,92cd22cada
"Are the embeddings from `model.encode(...)` already unit vectors, or do we need to normalize them ourselves?",92cd22cada
"In the homework with TF-IDF + SVD, why doesn't `.dot(...)` give cosine similarity right away?",92cd22cada
When is dot product actually the same as cosine similarity in vector search?,92cd22cada
Do I need to normalize classic embeddings before comparing them with cosine similarity?,92cd22cada
"For vector search in this module, should I index the question text, the answer text, or both together?",5c4a8d2e60
"Is there one best way to build embeddings here, or do I need to test a few options on my own dataset?",5c4a8d2e60
Why would embedding only the answer still work when the user asks a question?,5c4a8d2e60
When should I use just the question as input for embeddings instead of the full question plus answer?,5c4a8d2e60
"Does combining question and text usually give better retrieval, and how do I tell if it's worth the extra cost?",5c4a8d2e60
How does cosine similarity tell whether two vectors are close to each other?,db78580409
Why is cosine similarity used so often in text analysis for comparing documents?,db78580409
"What do the values -1, 0, and 1 mean in cosine similarity?",db78580409
How do you calculate cosine similarity from word counts or TF-IDF vectors?,db78580409
"Can cosine similarity work only with non-zero vectors, and why does that matter?",db78580409
Why can cosine similarity be computed with just a dot product once embeddings are normalized?,95feb4e75b
"In vector search, why does normalizing the query and document vectors make cosine similarity ignore magnitude?",95feb4e75b
How does matrix multiplication help calculate cosine similarity between one query and many embeddings efficiently?,95feb4e75b
Why is cosine similarity between unit-length vectors the same as their dot product?,95feb4e75b
What changes mathematically when all embeddings are normalized so similarity becomes a matrix multiply?,95feb4e75b
"For Module 2, do I need to make a whole new GitHub repo, or can I just spin up another codespace from the repo I already have?",1e829a8c6f
Why does the course say to use a separate codespace for the vector search module instead of keeping everything in the same one?,1e829a8c6f
"If I set up Module 2 in a fresh codespace, do I need to do any extra GitHub setup, or is it just a quick environment change?",1e829a8c6f
"Can I reuse my existing repo for the new module, or is a new repository required when starting the vector search part?",1e829a8c6f
"Since the codespace might be deleted later, should I commit my Module 2 changes somewhere first?",1e829a8c6f
Why do I keep getting `JSONDecodeError: Expecting value` when I call `json.loads()` on the LLM output?,a3c7e1b4f9
How can I make the model return clean JSON instead of putting it in a code block or adding extra text?,a3c7e1b4f9
What should I set in OpenAI so the response is forced to be a JSON object for ground-truth question generation?,a3c7e1b4f9
"Do I need to change my prompt too, or is `response_format={""type"": ""json_object""}` enough?",a3c7e1b4f9
Is there a simple example of parsing the chat completion result into JSON without the markdown fence problem?,a3c7e1b4f9
Why does my Jupyter notebook kernel keep crashing when I try to embed the ground-truth set in Module 4?,b8f2d6a30c
What can I do if embedding the eval dataset runs out of memory in Codespaces or on a small laptop?,b8f2d6a30c
Is there a lighter embedding model I can swap in for the default one in this evaluation task?,b8f2d6a30c
Can I move the embedding part out of the notebook and run it separately from the terminal?,b8f2d6a30c
How do I process the ground-truth data in chunks and avoid memory issues in the notebook?,b8f2d6a30c
Why am I still getting rate-limit errors with Gemini even after adding a 4-second sleep between requests?,c1e9f4b820
What should I do if the ground-truth generation job hits the free-tier daily quota partway through a long tqdm run?,c1e9f4b820
"Is it worth switching to OpenAI's gpt-4o-mini for building the eval dataset, and how does it help with limits?",c1e9f4b820
"Can I use Groq's free tier instead of Gemini for the ground-truth set, and does it have better throughput?",c1e9f4b820
How do I avoid losing progress when API requests get rate-limited during a thread-pool or batch generation script?,c1e9f4b820
How do I fix the WinError 126 / fbgemm.dll missing error on Windows when importing torch?,15e931476c
Is installing the Visual C++ Redistributable enough to solve the fbgemm.dll module not found issue?,15e931476c
Do I need Visual Studio or just VS Code for the PyTorch fbgemm.dll dependency error on Windows?,15e931476c
What should I install if Python says it can’t load torch\lib\fbgemm.dll on Windows 10/11?,15e931476c
"Why am I getting ""The specified module could not be found"" for fbgemm.dll, and what’s the fix?",15e931476c
"Why do I get ""could not translate host name postgres"" when I run prep.py, and what should I set in my .env file?",4b65d5542d
I'm seeing a psycopg2 OperationalError about postgres not being found. How do I make the script connect properly?,4b65d5542d
"What causes the ""No such host is known"" error for the postgres host in Module 5, and how can I fix it quickly?",4b65d5542d
"When I launch python prep.py, it fails on database connection with hostname postgres. Which env variable needs to be changed?",4b65d5542d
How should I update POSTGRES_HOST if prep.py says it can't resolve the postgres address?,4b65d5542d
How can I make Pandas show the full text in a column instead of cutting it off?,641aedbbf5
"Why does the Explanation column get shortened in the offline-rag-evaluation notebook, and how do I see the whole thing?",641aedbbf5
What setting do I need in Pandas to stop column text from being truncated to 50 characters?,641aedbbf5
Is there a quick way to display the entire judge output in a Pandas column?,641aedbbf5
How do I change the max column width in Pandas so long text prints fully?,641aedbbf5
How do I normalize a vector that's stored in a Pandas DataFrame column?,5039707c1a
What's the easiest way to scale each vector in a Pandas Series to unit length?,5039707c1a
Can I use numpy norm to normalize every row vector in a dataframe column?,5039707c1a
How would you create a new column with normalized vectors from an existing one in pandas?,5039707c1a
Is there a simple apply-based way to normalize array values inside a dataframe column?,5039707c1a
How do I get the 75th percentile of a Pandas DataFrame column?,b4c8ac5a0c
What’s the Pandas way to calculate a 0.75 quantile for a Series?,b4c8ac5a0c
How can I find a percentile value from a column in a DataFrame using Pandas?,b4c8ac5a0c
Is there a simple function in Pandas to compute quantiles for one column?,b4c8ac5a0c
How do I extract the 75% percentile from a Pandas column without writing custom logic?,b4c8ac5a0c
"How do I force delete every Docker container from the terminal, even the running ones?",66ccbb7da0
What's the command to remove all Docker images at once?,66ccbb7da0
How can I wipe out all Docker volumes with one terminal command?,66ccbb7da0
"Is there a quick way to clear every container, image, and volume in Docker?",66ccbb7da0
What commands should I run if I want to completely clean Docker from the terminal?,66ccbb7da0
"How can I make Streamlit let a user give feedback only once per submission, like a single +1 or -1?",2e729f1271
Why does my `st.session.submitted` keep getting set back to True after I click one of the feedback buttons?,2e729f1271
I want the feedback buttons to stay disabled after an ask/submit action until a new text is sent — how do I fix that session state issue?,2e729f1271
My Streamlit app re-enables feedback even after one button is pressed. Is there a known solution for `st.session.submitted` being reassigned?,2e729f1271
Where can I find the fix for the Streamlit session attribute problem when handling one-time feedback per user submission?,2e729f1271
"Why am I getting `exec: ""streamlit"": executable file not found in $PATH` when I start my Streamlit app with docker-compose, even though it works locally?",e8df9f0d12
What should I check in my Docker setup if docker-compose fails to run Streamlit with an OCI runtime error?,e8df9f0d12
"Do I need a Dockerfile for a Streamlit app before running it with docker-compose, and how should I add Streamlit to the compose config?",e8df9f0d12
"After fixing my docker-compose file for Streamlit, what command do I use to rebuild the image and start everything again?",e8df9f0d12
My Streamlit app runs outside Docker but not inside docker-compose — what’s the usual fix for the missing `streamlit` executable error?,e8df9f0d12
"Can the capstone be done as a team project, or does it have to be individual?",0fab61eca2
"If I brainstorm or work with classmates on a bigger idea, is that still allowed for the capstone?",0fab61eca2
Can two people submit parts of the same system for the capstone if each has their own repo?,0fab61eca2
What counts as an independent capstone project when multiple students are involved in one larger solution?,0fab61eca2
"If my project can’t be graded separately from someone else’s work, is it still acceptable for the capstone?",0fab61eca2
"Do I need to submit two capstone projects, or is one enough?",d5fc98925d
What do attempt #1 and attempt #2 mean for the project submission?,d5fc98925d
"If my first submission gets rejected, can I fix it and send it again later?",d5fc98925d
"Can I submit two projects just to get more practice, and if so, do they have to be different?",d5fc98925d
"If I miss the first submission deadline, can I still submit in the second window and qualify?",d5fc98925d
"Is the competition itself considered the capstone project, or is it something separate?",e892d44e42
Can I use the math-kaggle-llm-competition as my capstone submission?,e892d44e42
"Are we allowed to join the competition in teams, even if the capstone has to be individual?",e892d44e42
"If I participate in the competition with a group, does that count toward the capstone requirement?",e892d44e42
What’s the difference between the capstone and the competition in this course?,e892d44e42
How will my capstone project be graded in llm-zoomcamp?,9a2e2d2008
"Who reviews the submitted capstone projects, and how many people will score mine?",9a2e2d2008
Do I also need to grade other students’ capstone projects to get the certificate?,9a2e2d2008
What happens if I don’t complete the peer-review requirement for the capstone?,9a2e2d2008
How is the final capstone score calculated from the peer reviews?,9a2e2d2008
"After the deadline passes, how are the capstone projects assigned for review and grading?",eae0fb50aa
"Will each student get only one project to grade, or are there multiple ones assigned?",eae0fb50aa
When do we receive the list of projects we need to review in the capstone?,eae0fb50aa
How many submissions will be assigned to each participant for grading after the deadline?,eae0fb50aa
"Is there an Excel file shared with the assigned capstone projects, and when does that happen?",eae0fb50aa
"I already turned in my capstone project, so why am I not seeing any projects to review yet?",a8a7fef016
"After the submission deadline, how do project evaluations get assigned in the capstone course?",a8a7fef016
"Can I pick which submitted projects I want to grade, or is it automatically assigned?",a8a7fef016
Why is the review page empty even though I’ve finished my own project submission?,a8a7fef016
Do I have to wait until the project list is released before I can start reviewing other projects?,a8a7fef016
Where can I find project ideas and datasets for the capstone project?,e76a70cde3
Is there a GitHub page with some datasets and ideas I can use for this project?,e76a70cde3
What’s the best place to look for capstone project inspiration and data sources?,e76a70cde3
"Do you have a link with suggested ideas, datasets, and guidelines for the project?",e76a70cde3
Where should I check if I need tips plus a few dataset ideas for the project?,e76a70cde3
"Do I actually need Airflow, Mage, or Kestra for the capstone, or is a simple Python script enough?",d4f7c08ea1
Can I get full points on the ingestion pipeline part if I just write a plain Python script that loads and indexes the data?,d4f7c08ea1
"If I do the ingestion steps in a Jupyter notebook instead of a script, how many points is that worth?",d4f7c08ea1
When does it make sense to use an orchestrator in the capstone project instead of just sticking to Python?,d4f7c08ea1
"Should I add an orchestration tool only to meet the project rubric, or only if the use case really needs it?",d4f7c08ea1
How can I evaluate a recommender-style RAG if I don’t have clear ground-truth Q&A pairs?,9b0e2d6a47
What’s the easiest way to create synthetic evaluation data for a retrieval/recommender project?,9b0e2d6a47
"Can I use an LLM as a judge to score the quality of my RAG answers, and how would I set that up?",9b0e2d6a47
"For ranking-style RAG systems, should I use hit rate, MRR, or NDCG — and why?",9b0e2d6a47
How do I measure whether my retriever is finding the right item when several results could be acceptable?,9b0e2d6a47
What's a good way to chunk a big corpus with long PDFs and lots of paragraphs?,6f2a8b3d10
Should I start with fixed-size chunks or try some smarter splitting right away?,6f2a8b3d10
How can I make chunking better for structured docs like legal or financial files?,6f2a8b3d10
Is it worth adding a short summary to each chunk for retrieval?,6f2a8b3d10
What tools do you recommend for turning PDFs into clean markdown before chunking?,6f2a8b3d10
"What does reproducibility mean for the capstone project, and do reviewers need my API keys?",e5d8a2c761
Should I include real API credentials in the repo if I want reviewers to run my project?,e5d8a2c761
How can I make my project easy for a peer reviewer to reproduce from scratch?,e5d8a2c761
"What should I put in .env.example for the capstone, and should .env be committed?",e5d8a2c761
How do I avoid making reviewers spend a lot of credits when they test my project?,e5d8a2c761
"Can I do the homework or capstone in JavaScript or Go instead of Python, or is Python basically required?",ea815eb858
"If I decide to use TypeScript, Rust, Java, Scala, C#, or R for the project, what do I need to include so the reviewer can run it?",ea815eb858
Why does the course seem to prefer Python for all assignments and the final project?,ea815eb858
What kind of setup instructions should I put in the README if my homework isn't written in Python?,ea815eb858
"Is it actually allowed to submit a non-Python stack, and what makes it harder for review?",ea815eb858
Where do I check out old LLM Zoomcamp capstone project submissions?,930286278d
Is there a page with previous LLM Zoomcamp projects I can browse?,930286278d
Can I see examples of past LLM Zoomcamp capstone repos somewhere?,930286278d
