question,document,answer_score,answer_reasoning,trajectory_score,trajectory_reasoning
What name am I assigned when I create an account for the course?,c2903069a0,good,"The agent answer matches the core of the ground truth: it says users are automatically assigned a random name such as “Lucid Elbakyan” and mentions Edit Course Profile to see/change the display name. It omits some extra details about the leaderboard link and the distinction between nickname/display name versus official certificate name, but those are not necessary to answer the question asked.",good,"The tool call used the exact question wording as the search query, which is relevant and appropriate. Only one search call was made, which is reasonable for this straightforward lookup. There were no unnecessary or duplicate calls."
Where can I check the display name my account is showing?,c2903069a0,good,"The agent’s answer matches the key part of the ground truth: it says to click “Edit Course Profile” to see the display name/nickname. It omits extra details about the random assigned name, the leaderboard link, and the second official-name field, but those are not necessary to answer the question asked. So the answer is correct overall.",good,"The tool call used a relevant query about checking the display name. It was a single search, which is reasonable. While it did not refine further, the number of calls was appropriate and supported the final answer."
Can I change the nickname that appears on the leaderboard or in class?,c2903069a0,good,"The agent’s answer matches the ground truth. It correctly states that the nickname/display name can be changed, identifies the first field as the editable nickname/display name, notes that the second field is the official name for the certificate, and mentions the leaderboard link and Edit Course Profile button. This preserves the key information from the original answer.",good,"The single search query was relevant and contained the key terms from the question (nickname, leaderboard, class). One search call is reasonable for this simple FAQ question, and no unnecessary duplicate searches were made. The tool call supports the final answer."
What do I need to edit so my certificate shows my real name instead of the random one?,c2903069a0,good,"The agent answer matches the ground truth. It correctly says to edit the Course Profile and change the second field to the official name as on an ID/passport, and that this is the name used on the certificate. It also correctly notes the first field is just the displayed nickname. Minor detail like the 'Jump to your record on the leaderboard' link is omitted, but that is not essential to the question.",good,"The tool call was relevant and included key terms from the question: certificate, random name, real name, edit profile. A single search was reasonable, and there were no unnecessary duplicate calls. The search supported the final answer adequately."
Can I take the course on my own schedule and still earn a certificate?,69d122f12e,good,"The agent’s answer matches the ground truth. It correctly says that certificates are only available for finishing with a live cohort, not self-paced, and explains that peer-reviewing 3 capstone projects is required and only possible while the course is running. This captures the essential reasons from the original answer.",good,"The search query is relevant to the question and includes key concepts like self-paced, schedule, and certificate. Only one search call was needed, which is reasonable for this straightforward FAQ-style question. The tool call supported the final answer adequately."
Is there any way to get a certificate if I’m not in the live cohort?,69d122f12e,good,"The agent answer matches the ground truth. It clearly says certificates are only available if you finish with a live cohort, and that self-paced mode does not qualify because peer review is only available while the course is running. This captures the key reason from the original answer, even if it omits the detail about peer-reviewing 3 capstones and the form closing.",good,"The search query is relevant to the question and includes important keywords like certificate and live cohort. There was only one search call, which is reasonable for a straightforward FAQ lookup. No unnecessary duplicate calls were made, and the tool call supports the final answer."
Why doesn’t the self-paced version come with a certificate?,69d122f12e,good,"The agent’s answer matches the ground truth. It correctly states that certificates are only available for the live cohort, not the self-paced version, and explains the reason: you must peer-review 3 capstone projects, which is only possible while the course is actively running before the peer-review list is compiled. This contains all key points from the original answer.",good,"The tool call was relevant and directly targeted the question about why the self-paced version lacks a certificate. A single search was reasonable, and no unnecessary duplicate calls were made. The query included the main keywords from the question."
Do I need to review other students’ capstone projects to qualify for the certificate?,69d122f12e,bad,"The agent answer is incorrect. The ground truth says you do NOT get a certificate via self-paced mode; you only qualify if you finish with a live cohort, and peer-reviewing 3 capstones is part of that live process. The agent omitted the key disqualifying statement and answered as if reviewing 3 capstones is sufficient for certification in general. It did include the 3 peer-reviews and the timing constraint, but the main yes/no conclusion is wrong.",good,"The single search query was relevant and included some keywords from the question (certificate, review, capstone projects), so it was a reasonable first lookup. Only one call was made, which is acceptable. However, the final answer did not reflect the critical distinction between live cohort and self-paced mode, so the tool use did not support a correct final response."
"If I finish the lessons later, after the course ends, can I still get certified?",69d122f12e,good,"The agent’s answer matches the ground truth in the important way: it says certification is only possible with the live cohort, and not in self-paced mode after the course ends. It also correctly mentions the peer-review dependency. However, it adds a slightly misleading phrasing at the start (“Yes, but only if...”) when the ground truth is a clear no to getting certified after the course ends. Still, the core information is correct.",good,"The search query was relevant to the user’s question and included key terms like finishing after the course ends and certification. Only one search call was made, which is reasonable for a straightforward FAQ lookup. The tool use supported the final answer."
"If I skipped the first homework, can I still qualify for the course certificate?",9f689c185f,good,"The agent answer matches the ground truth. It correctly states that homework is not mandatory for the certificate, that passing the Capstone project is required, and that homework points are mainly for practice/leaderboard ranking. This preserves the key information from the original answer.",good,"The single search query was relevant and included key terms from the question such as certificate and homework. One search call was sufficient, with no unnecessary duplicates. The tool usage reasonably supported the final answer."
"Do I have to do every homework assignment to get certified, or is there another requirement?",9f689c185f,good,"The agent answer matches the ground truth on the key point: homework is not mandatory, and passing the Capstone project is required for the certificate. It also correctly mentions homework being recommended and tied to leaderboard points. However, it adds an extra claim about needing to finish with a live cohort and not self-paced, which is not present in the original answer and may be unsupported. Still, the core answer is correct.",good,"The tool calls were relevant to the question and included important keywords like certified, homework, certificate, and FAQ. Two searches is a reasonable number, though the second query was somewhat redundant rather than clearly refining the first. Overall the search behavior was acceptable and supported the final answer."
What do I need to complete in llm-zoomcamp to receive the certificate if homework isn’t required?,9f689c185f,good,The agent answer matches the ground truth: it states that passing the Capstone project is required for the certificate and that homework is not mandatory but recommended and affects leaderboard rank. This contains the key information from the original answer.,good,"The search query is relevant and includes the main keywords from the question (llm-zoomcamp, certificate, homework not required, what do I need to complete). Only one search was used, which is reasonable and sufficient for this straightforward question."
"Are homework points mandatory for the certificate, or are they just for the leaderboard?",9f689c185f,good,"The agent answer matches the ground truth. It correctly states that homework points are not mandatory for the certificate, that passing the Capstone project is required, and that homework is recommended and counts toward leaderboard rank. This preserves all key information from the original answer.",good,"The tool call was reasonable and relevant. The search query included the key concepts from the question: homework points, mandatory, certificate, and leaderboard. Only one search was needed, and it supported the final answer well."
"Can I still earn the certificate even if I missed some homework, as long as I finish the final project?",9f689c185f,good,"The agent answer matches the ground truth on the key point: homework is not mandatory and passing the Capstone/Final project is required for the certificate. However, it adds extra caveats about submission timing and peer reviews that are not present in the original answer, so it is not perfectly aligned, though still essentially correct for the asked question.",good,"The single search query was relevant and included the main keywords from the question (certificate, homework, final project). One search call is reasonable, and there was no unnecessary duplication. The tool call supports the final answer."
Why does the homework content keep changing before it’s released?,96286b4be4,good,"The agent answer matches the ground truth closely. It correctly explains that '[DRAFT]' means the homework is not ready, that readiness requires both the form being open and the title not containing '[DRAFT]', and that the content may change until then, so working early is at the student's own risk. No key information is missing.",good,"The single search query is relevant to the question and includes key concepts from it ('homework content', 'changing', 'before released', 'FAQ'). One search call is reasonable, and there were no unnecessary duplicate or overly broad tool calls. The tool call supports the final answer."
How can I tell if a homework assignment is actually ready to do?,96286b4be4,good,The agent answer matches the ground truth closely. It correctly states the two conditions for readiness: the homework form must be open and the title must not contain [DRAFT]. It also includes the warning that [DRAFT] means it is not ready yet and that working early is at the student’s own risk because the content can change. This preserves the key information from the original answer.,good,"The tool call was reasonable and relevant: it searched using the exact user question, which is an appropriate first lookup. Only one search call was made, which is sufficient here, and there were no unnecessary or duplicate queries."
"If a homework title has [DRAFT], does that mean it’s still not final?",96286b4be4,good,"The agent answer matches the ground truth. It correctly states that a title containing [DRAFT] means the homework is not ready yet and can still change, and that it is only ready when the homework form is open and the title no longer contains [DRAFT]. This captures the key condition that the homework is not final while [DRAFT] remains in the title.",good,"The tool call was relevant to the question and included the key keyword [DRAFT] along with homework/title/final meaning. Only one search was used, which is reasonable for this straightforward factual question. The call supported the final answer adequately."
Can the homework change even after I start working on it early?,96286b4be4,good,"The agent answer matches the ground truth. It correctly explains that the homework can still change if it is marked [DRAFT], that it is only ready when the form is open and the title does not contain [DRAFT], and that working early is at the student's own risk because the final version may differ.",good,"The tool call was relevant to the question and included key concepts like homework changes and early work. Although only one search was used and the query was a bit broader than the FAQ wording, it was reasonable and not excessive. The tool call supported the final answer."
What should I check before submitting or starting the homework?,96286b4be4,good,"The agent captured the two key conditions from the ground truth: the homework form must be open and the title must not contain [DRAFT]. It also correctly noted that [DRAFT] means the homework is not final yet. However, it added extra items not present in the original answer, such as checking GitHub instructions and numeric-answer guidance, which makes the response less faithful to the source. Still, the core answer matches the FAQ.",good,"The search query was relevant and targeted the question well. Only one search call was made, which is reasonable. The query included the main idea of checking before submitting or starting homework, and the tool use supported the final answer adequately."
When is the next time this course will be run?,bd31146b0e,good,The agent’s answer matches the ground truth exactly in meaning: it states that the next time the course will be run is Summer 2027.,good,"The search query was relevant to the question and attempted to find when the course would next run. Only one search call was made, which is reasonable for this simple factual question. The call supported the final answer."
Do you know what the upcoming offering date is for this course?,bd31146b0e,bad,"The agent’s answer does not match the ground truth. The correct upcoming offering date is ""Summer 2027,"" but the agent said it could start anytime and did not provide the actual upcoming offering date. It also introduced irrelevant information about deadlines and a course management platform link, which does not answer the question asked.",good,"The search query was somewhat related to the question, but it was too generic and did not include the specific course name or likely date-related keywords. Only one search call was made, which is reasonable, but it failed to retrieve the needed information and the agent did not refine the query."
When should I expect the next session of the course to start?,bd31146b0e,good,The agent answer matches the ground truth exactly in meaning: it states that the next session is expected in Summer 2027. No missing or conflicting information.,good,"The search query was relevant to the question and included key terms about the next session start date. Only one search call was made, which is reasonable for a simple factual lookup. The tool call supported the final answer."
Is the next course run planned for Summer 2027?,bd31146b0e,good,The agent answer matches the ground truth exactly in substance: it confirms the next course run is planned for Summer 2027. No missing or conflicting information.,good,"The tool call was relevant and concise. It used the key phrase from the question, and a single search was sufficient. No unnecessary or duplicate searches were made."
What’s the next scheduled offering for this course?,bd31146b0e,good,The agent answer exactly matches the ground truth by stating that the next scheduled offering is Summer 2027.,good,"The single search query is relevant to the question and reasonable for finding the next scheduled offering. Although generic, it fits the task and only one call was needed."
Where do I find the lecture videos for this course?,31456f4b5f,good,"The agent answer matches the ground truth closely. It correctly points to the LLM Zoomcamp GitHub repository as the main entry point, says to open the lesson folders, notes that each lesson page has relevant videos linked at the top, and mentions that the GitHub repo is more up-to-date than the YouTube playlist. This contains the key information from the original answer.",good,"The single search query is relevant to the user's question, though it is somewhat generic and does not include specific keywords like 'LLM Zoomcamp' or 'GitHub'. Still, using one search call is reasonable, and there were no unnecessary duplicate searches. The tool call supports the final answer adequately."
Is there a main place to start if I want the lesson recordings?,31456f4b5f,good,"The agent answer matches the ground truth well. It identifies the LLM Zoomcamp GitHub repository as the main entry point, says to open the lesson folders where videos are linked at the top, and notes that the GitHub repo is preferred over the YouTube playlist because it is easier to keep updated. This contains the key information from the original answer, with an added direct link, so answer quality is good.",good,"The search query was relevant to the user’s question about where to start for lesson recordings. It included the key idea of finding lesson recordings, though it was somewhat generic and did not specifically mention LLM Zoomcamp or GitHub. Still, one search call was reasonable and sufficient given the simplicity of the question."
"Do the lesson pages have the videos linked somewhere, or do I need to search YouTube?",31456f4b5f,good,"The agent answer matches the ground truth well. It says the lesson pages include the relevant videos at the top, directs the user to the LLM Zoomcamp GitHub repository as the main entry point, and notes that it is more up to date than YouTube. This preserves the key information, including that there is no need to search YouTube first.",good,"The single search query is relevant to the question and includes key concepts like lesson pages, videos, and YouTube. Although somewhat broad, one search call is reasonable for this simple FAQ-style question and the tool use supports the final answer."
What’s the best source to check first for updated lectures in LLM Zoomcamp?,31456f4b5f,good,"The agent answer matches the ground truth. It correctly identifies the LLM Zoomcamp GitHub repository as the best first source, notes that it is easier to keep updated than the YouTube playlist, and mentions that lesson folders contain relevant video links at the top.",good,"The single search query was relevant and included key terms from the question (updated lectures, LLM Zoomcamp, best source first). One search call is reasonable and sufficient, and it supported the final answer."
Where should I look when I’m trying to find the videos for each lesson?,31456f4b5f,good,"The agent answer matches the ground truth well. It correctly says to use the LLM Zoomcamp GitHub repository as the main place to look, open the lesson folders, and find the relevant videos linked at the top of each lesson page. It also correctly notes that the GitHub repo is preferred over the YouTube playlist because it is more up to date. This contains the key information from the original answer, with no important omissions.",good,"The tool call was reasonable and relevant. The search query asked about where to find lesson videos, which matches the question. Although it was somewhat broad, it included the core intent and there was only one search call, which is appropriate for this simple lookup question."
